TF	Description	Literature	Link
SAP	A recessive mutation in the Arabidopsis STERILE APETALA (SAP) causes severe aberrations in inflorescence and flower and ovule development. In sap flowers, sepals are carpelloid, petals are short and narrow or absent, and anthers are degenerated. Megasporogenesis, the process of meiotic divisions preceding the female gametophyte formation, is arrested in sap ovules during or just after the first meiotic division. More severe aberrations were observed in double mutants between sap and mutant alleles of the floral homeotic gene APETALA2 (AP2) suggesting that both genes are involved in the initiation of female gametophyte development. Together with the organ identity gene AGAMOUS (AG) SAP is required for the maintenance of floral identity acting in a manner similar to APETALA1. In contrast to the outer two floral organs in sap mutant flowers, normal sepals and petals develop in ag/sap double mutants, indicating that SAP negatively regulates AG expression in the perianth whorls. This supposed cadastral function of SAP is supported by in situ hybridization experiments showing ectopic expression of AG in the sap mutant. We have cloned the SAP gene by transposon tagging and revealed that it encodes a novel protein with sequence motifs, that are also present in plant and animal transcription regulators. Consistent with the mutant phenotype, SAP is expressed in inflorescence and floral meristems, floral organ primordia, and ovules. Taken together, we propose that SAP belongs to a new class of transcription regulators essential for a number of processes in Arabidopsis flower development.	Byzova M V, Franken J, Aarts MG, de Almeida-Engler J, Engler G, Mariani C, Van Lookeren Campagne MM, Angenent GC (1999) Arabidopsis STERILE APETALA, a multifunctional gene regulating inflorescence, flower, and ovule development. Genes Dev 13: 1002--14	http://www.ncbi.nlm.nih.gov/pubmed/10215627
Tify	The ZIM domain was originally identified in the ZIM protein (BAA97679; Zinc-finger protein expressed in Inflorescence Meristem). Since then it has been found in other proteins and the corresponding genes have been grouped into a plant-specific family. However, the family lacks consistency in its classification among different databases. Here, we try to clarify this incongruity by presenting an overview of the Arabidopsis proteins having this domain. The presented genome-wide survey can be seen as a start point to reveal the unknown function of these proteins. Furthermore, because of the confusing ZIM nomenclature being used at present, we propose to rename the domain and family as tify, after the most conserved amino acid motif characterizing the members of this family.	Vanholme B, Grunewald W, Bateman A, Kohchi T, Gheysen G (2007) The tify family previously known as ZIM. Trends Plant Sci 12: 239--44	http://www.ncbi.nlm.nih.gov/pubmed/17499004
Whirly	Members of the Whirly family of proteins are found throughout the plant kingdom and are predicted to share the ability to bind to single-stranded DNA. Arabidopsis and potato Whirly orthologs act as transcription factors that regulate defense gene expression; the Arabidopsis Whirly protein AtWhy1 contributes to both basal and specific defense responses. Analysis of the crystal structure of potato StWhy1 has provided insight into the DNA-binding mechanism of this family of proteins, their mode of action and possible autoregulation. There is evidence to suggest that Whirly proteins might play roles in processes other than defense responses and could function in the chloroplast as well as in the nucleus.	Desveaux D, Maréchal A, Brisson N (2005) Whirly transcription factors: defense gene regulation and beyond. Trends Plant Sci 10: 95--102	http://www.ncbi.nlm.nih.gov/pubmed/15708347
AP2/ERF-RAV	Ralstonia solanacearum is the causal agent of bacterial wilt (BW), one of the most important bacterial diseases worldwide. We used cDNA microarray to survey the gene expression profile in transgenic tomato (Solanum lycopersicum) overexpressing Arabidopsis (Arabidopsis thaliana) CBF1 (AtCBF1), which confers tolerance to BW. The disease-resistant phenotype is correlated with constitutive expression of the Related-to-ABI3/VP1 (RAV) transcription factor, ethylene-responsive factor (ERF) family genes, and several pathogenesis-related (PR) genes. Using a transient assay system, we show that tomato RAV2 (SlRAV2) can transactivate the reporter gene driven by the SlERF5 promoter. Virus-induced gene silencing of SlERF5 and SlRAV2 in AtCBF1 transgenic and BW-resistant cultivar Hawaii 7996 plants gave rise to plants with enhanced susceptibility to BW. Constitutive overexpression of SlRAV2 in transgenic tomato plants induced the expression of SlERF5 and PR5 genes and increased BW tolerance, while knockdown of expression of SlRAV2 inhibited SlERF5 and PR5 gene expression under pathogen infection and significantly decreased BW tolerance. In addition, transgenic tomato overexpressing SlERF5 also accumulated higher levels of PR5 transcripts and displayed better tolerance to pathogen than wild-type plants. From these results, we conclude that SlERFs may act as intermediate transcription factors between AtCBF1 and PR genes via SlRAV in tomato, which results in enhanced tolerance to BW.	Li C-W, Su R-C, Cheng C-P, Sanjaya, You S-J, Hsieh T-H, Chao T-C, Chan M-T (2011) Tomato RAV transcription factor is a pivotal modulator involved in the AP2/EREBP-mediated defense pathway. Plant Physiol 156: 213--27	http://www.ncbi.nlm.nih.gov/pubmed/21398258
BES1	Brassinosteroids (BRs) signal through a plasma membrane-localized receptor kinase to regulate plant growth and development. We showed previously that a novel protein, BES1, accumulates in the nucleus in response to BRs, where it plays a role in BR-regulated gene expression; however, the mechanism by which BES1 regulates gene expression is unknown. In this study, we dissect BES1 subdomains and establish that BES1 is a transcription factor that binds to and activates BR target gene promoters both in vitro and in vivo. BES1 interacts with a basic helix-loop-helix protein, BIM1, to synergistically bind to E box (CANNTG) sequences present in many BR-induced promoters. Loss-of-function and gain-of-function mutants of BIM1 and its close family members display BR response phenotypes. Thus, BES1 defines a new class of plant-specific transcription factors that cooperate with transcription factors such as BIM1 to regulate BR-induced genes.	Yin Y, Vafeados D, Tao Y, Yoshida S, Asami T, Chory J (2005) A new class of transcription factors mediates brassinosteroid-regulated gene expression in Arabidopsis. Cell 120: 249--59	http://www.ncbi.nlm.nih.gov/pubmed/15680330
C2C2-YABBY	The establishment of abaxial-adaxial polarity in lateral organs involves factors intrinsic to the primordia and interactions with the apical meristem from which they are derived. Recently, a small plant-specific family of genes, the YABBY gene family, has been proposed to specify abaxial cell fate. Each asymmetric above-ground lateral organ expresses at least one member of the family in a polar manner, and loss- and gain-of-function studies indicate that they are sufficient to specify abaxial cell fate and that they act in both distinct and redundant manners.	Bowman JL (2000) The YABBY gene family and abaxial cell fate. Curr Opin Plant Biol 3: 17--22	http://www.ncbi.nlm.nih.gov/pubmed/10679447
CAMTA	The Arabidopsis thaliana CBF cold response pathway plays a central role in cold acclimation. It is characterized by rapid cold induction of genes encoding the CBF1-3 transcription factors, followed by expression of the CBF gene regulon, which imparts freezing tolerance. Our goal was to further the understanding of the cis-acting elements and trans-acting factors involved in expression of CBF2. We identified seven conserved DNA motifs (CM), CM1 to 7, that are present in the promoters of CBF2 and another rapidly cold-induced gene encoding a transcription factor, ZAT12. The results presented indicate that in the CBF2 promoter, CM4 and CM6 have negative regulatory activity and that CM2 has both negative and positive activity. A Myc binding site in the CBF2 promoter was also found to have positive regulatory effects. Moreover, our results indicate that members of the calmodulin binding transcription activator (CAMTA) family of transcription factors bind to the CM2 motif, that CAMTA3 is a positive regulator of CBF2 expression, and that double camta1 camta3 mutant plants are impaired in freezing tolerance. These results establish a role for CAMTA proteins in cold acclimation and provide a possible point of integrating low-temperature calcium and calmodulin signaling with cold-regulated gene expression.	Doherty CJ, Van Buskirk HA, Myers SJ, Thomashow MF (2009) Roles for Arabidopsis CAMTA transcription factors in cold-regulated gene expression and freezing tolerance. Plant Cell 21: 972--84	http://www.ncbi.nlm.nih.gov/pubmed/19270186
DDT	Homology-based sequence analyses have revealed the presence of a novel domain (DDT) in bromodomain PHD finger transcription factors (BPTFs), chromatin remodeling factors of the BAZ-family and other putative nuclear proteins. This domain is characterized by a number of conserved aromatic and charged residues and is predicted to consist of three alpha helices. Recent studies indicate a likely DNA-binding function for the DDT domain.	Doerks T, Copley R, Bork P (2001) DDT -- a novel domain in different transcription and chromosome remodeling factors. Trends Biochem Sci 26: 145--6	http://www.ncbi.nlm.nih.gov/pubmed/11246006
GARP-G2-like	Modern tomato (Solanum lycopersicum) varieties are bred for uniform ripening (u) light green fruit phenotypes to facilitate harvests of evenly ripened fruit. U encodes a Golden 2-like (GLK) transcription factor, SlGLK2, which determines chlorophyll accumulation and distribution in developing fruit. In tomato, two GLKs--SlGLK1 and SlGLK2--are expressed in leaves, but only SlGLK2 is expressed in fruit. Expressing GLKs increased the chlorophyll content of fruit, whereas SlGLK2 suppression recapitulated the u mutant phenotype. GLK overexpression enhanced fruit photosynthesis gene expression and chloroplast development, leading to elevated carbohydrates and carotenoids in ripe fruit. SlGLK2 influences photosynthesis in developing fruit, contributing to mature fruit characteristics and suggesting that selection of u inadvertently compromised ripe fruit quality in exchange for desirable production traits.	Powell ALT, Nguyen C V, Hill T, Cheng KL, Figueroa-Balderas R, Aktas H, Ashrafi H, Pons C, Fernández-Muñoz R, Vicente A, et al (2012) Uniform ripening encodes a Golden 2-like transcription factor regulating tomato fruit chloroplast development. Science 336: 1711--5	http://www.ncbi.nlm.nih.gov/pubmed/22745430
HB-KNOX	knox genes encode homeodomain-containing transcription factors that are required for meristem maintenance and proper patterning of organ initiation. In plants with simple leaves, knox genes are expressed exclusively in the meristem and stem, but in dissected leaves, they are also expressed in leaf primordia, suggesting that they may play a role in the diversity of leaf form. This hypothesis is supported by the intriguing phenotypes found in gain-of-function mutations where knox gene misexpression affects leaf and petal shape. Similar phenotypes are also found in recessive mutations of genes that function to negatively regulate knox genes. KNOX proteins function as heterodimers with other homeodomains in the TALE superclass. The gibberellin and lignin biosynthetic pathways are known to be negatively regulated by KNOX proteins, which results in indeterminate cell fates.	Hake S, Smith HMS, Holtan H, Magnani E, Mele G, Ramirez J (2004) The role of knox genes in plant development. Annu Rev Cell Dev Biol 20: 125--51	http://www.ncbi.nlm.nih.gov/pubmed/15473837
HRT	A barley gene encoding a novel DNA-binding protein (HRT) was identified by southwestern screening with baits containing a gibberellin phytohormone response element from an alpha-amylase promoter. The HRT gene contains two introns, the larger of which (5722 base pairs (bp)) contains a 3094-bp LINE-like element with homology to maize Colonist1. In vitro mutagenesis and zinc- and DNA-binding assays demonstrate that HRT contains three unusual zinc fingers with a CX8-9CX10CX2H consensus sequence. HRT is targeted to nuclei, and homologues are expressed in other plants. In vivo, functional tests in plant cells indicate that full-length HRT can repress expression from certain promoters including the Amy1/6-4 and Amy2/32 alpha-amylase promoters. In contrast, truncated forms of HRT containing DNA-binding domains can activate, or derepress, transcription from these promoters. Northern hybridizations indicate that HRT mRNA accumulates to low levels in various tissues. Roles for HRT in mediating developmental and phytohormone-responsive gene expression are discussed.	Raventós D, Skriver K, Schlein M, Karnahl K, Rogers SW, Rogers JC, Mundy J (1998) HRT, a novel zinc finger, transcriptional repressor from barley. J Biol Chem 273: 23313--20	http://www.ncbi.nlm.nih.gov/pubmed/9722564
MADS-MIKC	Plant life critically depends on the function of MADS-box genes encoding MADS-domain transcription factors, which are present to a limited extent in nearly all major eukaryotic groups, but constitute a large gene family in land plants. There are two types of MADS-box genes, termed type I and type II, and in plants these groups are distinguished by exon-intron and domain structure, rates of evolution, developmental function and degree of functional redundancy. The type I genes are further subdivided into three groups - M alpha, M beta and M gamma - while the type II genes are subdivided into the MIKCC and MIKC* groups. The functional diversification of MIKCC genes is closely linked to the origin of developmental and morphological novelties in the sporophytic (usually diploid) generation of seed plants, most spectacularly the floral organs and fruits of angiosperms. Functional studies suggest different specializations for the different classes of genes; whereas type I genes may preferentially contribute to female gametophyte, embryo and seed development and MIKC*-group genes to male gametophyte development, the MIKCC-group genes became essential for diverse aspects of sporophyte development. Beyond the usual transcriptional regulation, including feedback and feed-forward loops, various specialized mechanisms have evolved to control the expression of MADS-box genes, such as epigenetic control and regulation by small RNAs. In future, more data from genome projects and reverse genetic studies will allow us to understand the birth, functional diversification and death of members of this dynamic and important family of transcription factors in much more detail.	Gramzow L, Theissen G (2010) A hitchhikerâ€™s guide to the MADS world of plants. Genome Biol 11: 214	http://www.ncbi.nlm.nih.gov/pubmed/20587009
NF-X1	The class II major histocompatibility complex (MHC) molecules function in the presentation of processed peptides to helper T cells. As most mammalian cells can endocytose and process foreign antigen, the critical determinant of an antigen-presenting cell is its ability to express class II MHC molecules. Expression of these molecules is usually restricted to cells of the immune system and dysregulated expression is hypothesized to contribute to the pathogenesis of a severe combined immunodeficiency syndrome and certain autoimmune diseases. Human complementary DNA clones encoding a newly identified, cysteine-rich transcription factor, NF-X1, which binds to the conserved X-box motif of class II MHC genes, were obtained, and the primary amino acid sequence deduced. The major open reading frame encodes a polypeptide of 1,104 amino acids with a symmetrical organization. A central cysteine-rich portion encodes the DNA-binding domain, and is subdivided into seven repeated motifs. This motif is similar to but distinct from the LIM domain and the RING finger family, and is reminiscent of known metal-binding regions. The unique arrangement of cysteines indicates that the consensus sequence CX3CXL-XCGX1-5HXCX3CHXGXC represents a novel cysteine-rich motif. Two lines of evidence indicate that the polypeptide encodes a potent and biologically relevant repressor of HLA-DRA transcription: (a) overexpression of NF-X1 from a retroviral construct strongly decreases transcription from the HLA-DRA promoter; and (b) the NF-X1 transcript is markedly induced late after induction with interferon gamma (IFN-gamma), coinciding with postinduction attenuation of HLA-DRA transcription. The NF-X1 protein may therefore play an important role in regulating the duration of an inflammatory response by limiting the period in which class II MHC molecules are induced by IFN-gamma.	Song Z, Krishna S, Thanos D, Strominger JL, Ono SJ (1994) A novel cysteine-rich sequence-specific DNA-binding protein interacts with the conserved X-box motif of the human major histocompatibility complex class II genes via a repeated Cys-His domain and functions as a transcriptional repressor. J Exp Med 180: 1763--74	http://www.ncbi.nlm.nih.gov/pubmed/7964459
OFP	Transcription factors regulate multiple aspects of plant growth and development. Here we report the identification and functional analysis of a plant-specific, novel transcription factor in Arabidopsis. We isolated a dominant, gain-of-function mutant that displays reduced lengths in all aerial organs including hypocotyl, rosette leaf, cauline leaf, inflorescence stem, floral organs and silique. Molecular cloning revealed that these phenotypes are caused by elevated expression of the Arabidopsis thaliana Ovate Family Protein 1 (AtOFP1). This mutant was designated as Atofp1-1D. We show that the altered morphology of Atofp1-1D mutant is caused by reduced cell length resulting from reduced cell elongation, and demonstrate that a mutant harboring a transposon insertion that disrupts the OVATE domain of AtOFP1 is indistinguishable from wild-type plants. Plants overexpressing other closely related AtOFP genes phenocopy plants overexpressing AtOFP1, implying a possible overlapping function among members of the AtOFP gene family. We found that AtOFP1 localizes in the nucleus, and that AtOFP1 functions as an active transcriptional repressor. Chromatin immunoprecipitation results indicated that AtGA20ox1, a gene encoding the key enzyme in GA biosynthesis, is a target gene regulated by AtOFP1. Consistent with this, exogenous gibberellic acid can partially restore defects in cell elongation in plants overexpressing AtOFP1, suggesting that such a reduced cell elongation is caused, in part, by the deficiency in gibberellin biosynthesis. Taken together, our results indicate that AtOFP1 is an active transcriptional repressor that has a role in regulating cell elongation in plants.	Wang S, Chang Y, Guo J, Chen J-G (2007) Arabidopsis Ovate Family Protein 1 is a transcriptional repressor that suppresses cell elongation. Plant J 50: 858--72	http://www.ncbi.nlm.nih.gov/pubmed/17461792
SBP	SQUAMOSA Promoter-Binding Protein-Like (SPL) genes encode plant-specific transcription factors that play important roles in plant phase transition, flower and fruit development, plant architecture, gibberellins signaling, sporogenesis, and response to copper and fungal toxins. In Arabidopsis, many SPL genes are post-transcriptionally regulated by the microRNA (miRNA) miR156, among which AtSPL9 in turn positively regulates the expression of the second miRNA miR172. This miR156-AtSPL9-miR172 regulatory pathway plays critical roles during juvenile to adult leaf development and the miR156-SPLs feedback interaction persists all through the plant development, which may be conserved in other plants. In the present paper, we provide a concise review on the most recent progress in the regulatory mechanisms associated with plant SPL transcription factors, especially in relation to miRNAs. The potential application of these discoveries in agriculture is briefly discussed.	Chen X, Zhang Z, Liu D, Zhang K, Li A, Mao L (2010) SQUAMOSA promoter-binding protein-like transcription factors: star players for plant growth and development. J Integr Plant Biol 52: 946--51	http://www.ncbi.nlm.nih.gov/pubmed/20977652
Trihelix	GT factors are the founding members of the trihelix transcription factor family. They bind GT elements in light regulated genes, and their nature was uncovered in a burst of activity in the 1990s. Study of the trihelix family then slowed. However, interest is now re-awakening. Genomic studies have revealed 30 members of this family in Arabidopsis and 31 in rice, falling into five clades. Newly discovered functions involve responses to salt and pathogen stresses, the development of perianth organs, trichomes, stomata and the seed abscission layer, and the regulation of late embryogenesis. Thus the time is ripe for a review of the genomic and functional information now emerging for this neglected family.	Kaplan-Levy RN, Brewer PB, Quon T, Smyth DR (2012) The trihelix family of transcription factors--light, stress and development. Trends Plant Sci 17: 163--71	http://www.ncbi.nlm.nih.gov/pubmed/22236699
WRKY	WRKY transcription factors are one of the largest families of transcriptional regulators in plants and form integral parts of signalling webs that modulate many plant processes. Here, we review recent significant progress in WRKY transcription factor research. New findings illustrate that WRKY proteins often act as repressors as well as activators, and that members of the family play roles in both the repression and de-repression of important plant processes. Furthermore, it is becoming clear that a single WRKY transcription factor might be involved in regulating several seemingly disparate processes. Mechanisms of signalling and transcriptional regulation are being dissected, uncovering WRKY protein functions via interactions with a diverse array of protein partners, including MAP kinases, MAP kinase kinases, 14-3-3 proteins, calmodulin, histone deacetylases, resistance proteins and other WRKY transcription factors. WRKY genes exhibit extensive autoregulation and cross-regulation that facilitates transcriptional reprogramming in a dynamic web with built-in redundancy.	Rushton PJ, Somssich IE, Ringler P, Shen QJ (2010) WRKY transcription factors. Trends Plant Sci 15: 247--58	http://www.ncbi.nlm.nih.gov/pubmed/20304701
AP2/ERF-AP2	AINTEGUMENTA (ANT) and APETALA2 (AP2) are transcription factors that are involved in several developmental processes in Arabidopsis thaliana. They are similar in structure, containing two AP2 domains, and have partially redundant functions in reproductive organ development. Expression and functional analyses of ANT and AP2 homologs have been performed previously in almost all angiosperms. In this study, one ANT homolog and two AP2 homologs were isolated from the gymnosperm Pinus thunbergii and were named PtANTL1, PtAP2L1, and PtAP2L2. PtANTL1 is the first reported gymnosperm ANT homologous gene. Based on a gene tree constructed with sequences of all A. thaliana two-AP2-domain-containing genes, it is likely that PtANTL1 and ANT, and likewise PtAP2L1 and AP2, are orthologs. The expression patterns of PtANTL1/PtAP2L1/PtAP2L2 were examined with Southern hybridization of the quantitative RT-PCR products and in situ hybridization. PtANTL1 and PtAP2L1 had almost identical expression patterns in the analyzed organs, and PtANTL1/PtAP2L1/PtAP2L2 were continually expressed in the developing female cone. Our analysis suggests that gymnosperms have orthologs to both ANT and AP2, and that the most recent common ancestor of extant seed plants has two type AP2 subfamily genes, ANT-like and AP2-like, involved in the development of female reproductive organs.	Shigyo M, Ito M (2004) Analysis of gymnosperm two-AP2-domain-containing genes. Dev Genes Evol 214: 105--14	http://www.ncbi.nlm.nih.gov/pubmed/14986134
bHLH	The basic/helix-loop-helix (bHLH) proteins are a superfamily of transcription factors that bind as dimers to specific DNA target sites and that have been well characterized in nonplant eukaryotes as important regulatory components in diverse biological processes. Based on evidence that the bHLH protein PIF3 is a direct phytochrome reaction partner in the photoreceptor's signaling network, we have undertaken a comprehensive computational analysis of the Arabidopsis genome sequence databases to define the scope and features of the bHLH family. Using a set of criteria derived from a previously defined consensus motif, we identified 147 bHLH protein-encoding genes, making this one of the largest transcription factor families in Arabidopsis. Phylogenetic analysis of the bHLH domain sequences permits classification of these genes into 21 subfamilies. The evolutionary and potential functional relationships implied by this analysis are supported by other criteria, including the chromosomal distribution of these genes relative to duplicated genome segments, the conservation of variant exon/intron structural patterns, and the predicted DNA binding activities within subfamilies. Considerable diversity in DNA binding site specificity among family members is predicted, and marked divergence in protein sequence outside of the conserved bHLH domain is observed. Together with the established propensity of bHLH factors to engage in varying degrees of homodimerization and heterodimerization, these observations suggest that the Arabidopsis bHLH proteins have the potential to participate in an extensive set of combinatorial interactions, endowing them with the capacity to be involved in the regulation of a multiplicity of transcriptional programs. We provide evidence from yeast two-hybrid and in vitro binding assays that two related phytochrome-interacting members in the Arabidopsis family, PIF3 and PIF4, can form both homodimers and heterodimers and that all three dimeric configurations can bind specifically to the G-box DNA sequence motif CACGTG. These data are consistent, in principle, with the operation of this combinatorial mechanism in Arabidopsis.	Toledo-Ortiz G, Huq E, Quail PH (2003) The Arabidopsis basic/helix-loop-helix transcription factor family. Plant Cell 15: 1749--70	http://www.ncbi.nlm.nih.gov/pubmed/12897250
C2C2-CO-like	A family of CONSTANS LIKE genes (COLs) has recently been identified in Arabidopsis thaliana and other plant species. CONSTANS, the first isolated member, is a putative zinc finger transcription factor that promotes the induction of flowering in A. thaliana in long photoperiods. Phylogenetic analysis of the COL family demonstrated that it is organized into a few distinct groups, some of which evolved before the divergence of gymnosperms and angiosperms. Molecular evolutionary analyses showed that COL genes within the Brassicaceae family evolve rapidly. The number of nonsynonymous substitutions was larger, and the ratio of nonsynonymous to synonymous substitutions was higher. The analysis also indicated that the rate of evolution is heterogeneous between different domains in the COL genes. The results support previous data indicating that plant regulatory genes evolve relatively fast and that the rate of evolution varies significantly between different regions of those genes. The rate of evolution of COL genes seems to have accelerated during later stages of evolution, possibly as an effect of frequent gene duplications.	Lagercrantz U, Axelsson T (2000) Rapid evolution of the family of CONSTANS LIKE genes in plants. Mol Biol Evol 17: 1499--507	http://www.ncbi.nlm.nih.gov/pubmed/11018156
CPP	Cysteine-rich polycomb-like protein (CPP-like) genes are a group of transcription factors with highly conserved cysteine-rich domains and are widely distributed in animals and plants, but do not present in yeast. Previous studies have shown that members of this family play important roles in the development of reproductive tissue and in the control of cell division in plants. In this study, whole genome identification of soybean CPP transcription factors was performed using bioinformatic methods. The results showed that there were 20 CPP transcription factors in the soybean genome, which encoded for 28 distinct CPP proteins. These transcription factors were distributed on 16 of 20 chromosomes. Phylogenetic relationship analysis showed that expression of CPP gene family members occurred before the differentiation of monocotyledons and dicotyledons. RNA-Seq analysis showed that 5 genes were highly expressed in all tissues, including Glyma10g39080, Glyma01g44670, Glyma101g66920, Glyma02g01540, and Glyma20g28740. One gene (Glyma14g14750) was specifically expressed in young leaves, while 2 genes (Glyma02g01540 and Glyma10g01580) were highly expressed in root nodules. Quantitative reverse transcriptase-polymerase chain reaction analysis revealed that the expression levels of most genes increased in the roots under high temperature stress. Our findings indicate that these genes are not only involved in growth and development, but also in the responses to high temperature stress in soybean roots.	Zhang L, Zhao HK, Wang YM, Yuan CP, Zhang YY, Li HY, Yan XF, Li QY, Dong YS (2015) Genome-wide identification and expression analysis of the CPP-like gene family in soybean. Genet Mol Res 14: 1260--8	http://www.ncbi.nlm.nih.gov/pubmed/25730064
E2F-DP	The balance between cell proliferation and differentiation is crucial in multicellular organisms, where it is regulated by complex gene expression networks. This is particularly relevant in plants because organogenesis is a continuous postembryonic process. Here, we investigate the function of Arabidopsis thaliana E2Ff, an atypical member of the E2F family of transcription factors, which acts independently of a dimerization partner. We have focused our analysis on roots and hypocotyls, organs where (1) cell proliferation and differentiation are spatially and/or temporally separated, (2) growth depends on cell expansion in the longitudinal axis, and (3) the AtE2Ff promoter is active. AtE2Ff overexpression produced a reduction in the size of differentiated cells of these organs. Cells of mutant e2ff-1 plants with reduced levels of AtE2Ff mRNA were larger, especially in the hypocotyl, suggesting a role as a growth regulator. These effects of AtE2Ff are not associated with changes in nuclear ploidy levels or in the expression of cell cycle marker genes. However, expression of a subset of cell wall biogenesis genes is misregulated in an AtE2Ff-dependent manner, and based on chromatin immunoprecipitation experiments, they seem to be direct E2F targets. Our results highlight the complex regulatory function exerted by E2F and suggest a possible role of AtE2Ff in repressing cell wall biosynthesis genes during cell elongation in differentiated cells.	Ramirez-Parra E, López-Matas MA, Fründt C, Gutierrez C (2004) Role of an atypical E2F transcription factor in the control of Arabidopsis cell growth and differentiation. Plant Cell 16: 2350--63	http://www.ncbi.nlm.nih.gov/pubmed/15308755
GeBP	Understanding the role of transcription factors (TFs) is essential in reconstructing developmental regulatory networks. The plant-specific GeBP TF family of Arabidopsis thaliana (Arabidopsis) comprises 21 members, all of unknown function. A subset of four members, the founding member GeBP and GeBP-like proteins (GPL) 1, 2, and 3, shares a conserved C-terminal domain. Here we report that GeBP/GPL genes represent a newly defined class of leucine-zipper (Leu-zipper) TFs and that they play a redundant role in cytokinin hormone pathway regulation. Specifically, we demonstrate using yeast, in vitro, and split-yellow fluorescent protein in planta assays that GeBP/GPL proteins form homo- and heterodimers through a noncanonical Leu-zipper motif located in the C-terminal domain. A triple loss-of-function mutant of the three most closely related genes gebp gpl1 gpl2 shows a reduced sensitivity to exogenous cytokinins in a subset of cytokinin responses such as senescence and growth, whereas root inhibition is not affected. We find that transcript levels of type-A cytokinin response genes, which are involved in the negative feedback regulation of cytokinin signaling, are higher in the triple mutant. Using a GPL version that acts as a constitutive transcriptional activator, we show that the regulation of Arabidopsis response regulators (ARRs) is mediated by at least one additional, as yet unknown, repressor acting genetically downstream in the GeBP/GPL pathway. Our results indicate that GeBP/GPL genes encode a new class of unconventional Leu-zipper TF proteins and suggest that their role in the cytokinin pathway is to antagonize the negative feedback regulation on ARR genes to trigger the cytokinin response.	Chevalier F, Perazza D, Laporte F, Le Hénanff G, Hornitschek P, Bonneville J-M, Herzog M, Vachon G (2008) GeBP and GeBP-like proteins are noncanonical leucine-zipper transcription factors that regulate cytokinin response in Arabidopsis. Plant Physiol 146: 1142--54	http://www.ncbi.nlm.nih.gov/pubmed/18162594
HB-other	The full complement of homeobox transcription factor sequences, including genes and pseudogenes, was determined from the analysis of 10 complete genomes from flowering plants, moss, Selaginella, unicellular green algae, and red algae. Our exhaustive genome-wide searches resulted in the discovery in each class of a greater number of homeobox genes than previously reported. All homeobox genes can be unambiguously classified by sequence evolutionary analysis into 14 distinct classes also characterized by conserved intron-exon structure and by unique codomain architectures. We identified many new genes belonging to previously defined classes (HD-ZIP I to IV, BEL, KNOX, PLINC, WOX). Other newly identified genes allowed us to characterize PHD, DDT, NDX, and LD genes as members of four new evolutionary classes and to define two additional classes, which we named SAWADEE and PINTOX. Our comprehensive analysis allowed us to identify several newly characterized conserved motifs, including novel zinc finger motifs in SAWADEE and DDT. Members of the BEL and KNOX classes were found in Chlorobionta (green plants) and in Rhodophyta. We found representatives of the DDT, WOX, and PINTOX classes only in green plants, including unicellular green algae, moss, and vascular plants. All 14 homeobox gene classes were represented in flowering plants, Selaginella, and moss, suggesting that they had already differentiated in the last common ancestor of moss and vascular plants.	Mukherjee K, Brocchieri L, Bürglin TR (2009) A comprehensive classification and evolutionary analysis of plant homeobox genes. Mol Biol Evol 26: 2775--94	http://www.ncbi.nlm.nih.gov/pubmed/19734295
HSF	Abiotic stresses such as high temperature, salinity, and drought adversely affect the survival, growth, and reproduction of plants. Plants respond to such unfavorable changes through developmental, physiological, and biochemical ways, and these responses require expression of stress-responsive genes, which are regulated by a network of transcription factors (TFs), including heat stress transcription factors (HSFs). HSFs play a crucial role in plants response to several abiotic stresses by regulating the expression of stress-responsive genes, such as heat shock proteins (Hsps). In this review, we describe the conserved structure of plant HSFs, the identification of HSF gene families from various plant species, their expression profiling under abiotic stress conditions, regulation at different levels and function in abiotic stresses. Despite plant HSFs share highly conserved structure, their remarkable diversification across plants reflects their numerous functions as well as their integration into the complex stress signaling and response networks, which can be employed in crop improvement strategies via biotechnological intervention.	Guo M, Liu J-H, Ma X, Luo D-X, Gong Z-H, Lu M-H (2016) The Plant Heat Stress Transcription Factors (HSFs): Structure, Regulation, and Function in Response to Abiotic Stresses. Front Plant Sci 7: 114	http://www.ncbi.nlm.nih.gov/pubmed/26904076
